#	year	left	match	right	title	topic
105	1989	For women with	low-risk	pregnancies , the panel recommended 7 or 8 prenatal visits rather than the usual 13 .	Less Prenatal Care Urged For Most Healthy Women	PREGNANCY AND OBSTETRICS, PREMATURE BABIES, ALCOHOLISM, DRUG ADDICTION AND ABUSE, TESTS AND TESTING
106	1989	A healthy ,	low-risk	woman should have her blood pressure taken on the first visit and '' perhaps a second time , '' Dr. Rosen said .	Less Prenatal Care Urged For Most Healthy Women	PREGNANCY AND OBSTETRICS, PREMATURE BABIES, ALCOHOLISM, DRUG ADDICTION AND ABUSE, TESTS AND TESTING
107	1989	BERNARD C. BAUM Miami Beach Mr. Brown is an example of an emerging national scandal : the failure to release geriatric ,	low-risk	prisoners to make room for younger , more dangerous ones .	Speculation Is Not Gambling	GAMBLING, HORSE RACING
108	1989	Because prisons continue to hold	low-risk	geriatric prisoners , new cell space is needed to handle prison overflow .	Prisons Aren't Nursing Homes	PRISONS AND PRISONERS, AGED
109	1989	What 's more , corporations have typically chosen to retain	low-risk	coverage and to continue to buy high-risk policies , like those for catastrophes .	A Double Whammy for the Insurers	CASUALTY INSURANCE, RATES, EARTHQUAKES, HURRICANES AND TROPICAL STORMS
110	1989	Balanced funds , which include bonds as well as stocks , tend to be bought by investors seeking	low-risk	investments that will still participate in a stock market rally .	Market Place; Individuals Stay Unafraid of Stocks	STOCKS AND BONDS, MUTUAL FUNDS
111	1989	Prenatal care for	low-risk	pregnant women is cost-effectively offered by nurses and is part of the educational background of perinatal nurse specialists and nurse midwives .	Never Undervalue Nurses in Prenatal Care	PREGNANCY AND OBSTETRICS, MIDWIVES, MEDICINE AND HEALTH
112	1989	Researchers said the findings may have far-reaching implications for the treatment of severe heart disease , offering patients a	low-risk	alternative to cholesterol-lowering drugs , bypass operations and angioplasty , a technique in which clogged arteries are opened with a tiny balloon that presses plaque against the artery walls .	Life-Style Shift Can Unclog Ailing Arteries, Study Finds	HEART, DIET AND NUTRITION, RESEARCH, ARTERIOSCLEROSIS AND ATHEROSCLEROSIS
113	1989	But when people exercise and follow food selection and preparation tips offered by dietitians , some can reduce cholesterol , moving from a high-risk to a	low-risk	category , even without medication .	Personal Health	Terms not available
114	1989	Long-term credit banks , commercial banks , trust banks and securities firms were all kept separate , in a	low-risk	but stable system .	Japan's Bumpy Financial Ride	STOCKS AND BONDS, BANKS AND BANKING, REGULATION AND DEREGULATION OF INDUSTRY, FOREIGN INVESTMENTS, FINANCIAL SERVICES INDUSTRY
115	1989	Sleeker and Smarter In addition to selling poor production assets , Texaco began to concentrate on exploring	low-risk	regions that produce smaller yields but can be developed quickly .	Texaco Star Rises Again	BANKRUPTCIES, COMPANY AND ORGANIZATION PROFILES
116	1989	Cargo theft is popular because it is a	low-risk	, high-profit crime , law-enforcement officials said .	Thefts of Cargo Containers Are Up at Los Angeles Ports	ROBBERIES AND THEFTS, PORTS, SHIPS AND SHIPPING
117	1990	The Risk of the Streets Blue Cross said demographics were needed to make premiums more equitable and to retain more	low-risk	subscribers , who were being lured away by other health insurers .	Teen-Agers Who Won't Join When Drug Dealers Recruit	DRUG ABUSE AND TRAFFIC, TEENAGERS, CHILDREN AND YOUTH
118	1990	It is a critical element of any Chapter 11 proceeding and is a relatively	low-risk	loan for the lender . ''	CAMPEAU'S STORES MEET THE DEADLINE TO PAY SUPPLIERS	BANKRUPTCIES, CREDIT
119	1990	He noted that bank lending to companies in bankrupcty was an extremely profitable ,	low-risk	business since the lenders are then fully protected by the courts . ''	Campeau Bankers Are Posing Some $2.3 Billion Questions	BANKRUPTCIES, CREDIT, MERGERS, ACQUISITIONS AND DIVESTITURES
120	1990	As the cost of deposits has risen , banks have found it harder to earn acceptable profits by investing in	low-risk	Treasury bills .	Old Problems Seen Giving Banks Difficulty	BANKS AND BANKING, CREDIT, PROFITS (INDUSTRY-WIDE)
121	1990	Few investments offer the	low-risk	, high-reward potential of a good book on income taxes .	Tax Books, a Winning Investment	TAXATION, BOOKS AND LITERATURE
122	1990	Mr. Worley 's two-year-old company was apparently the first of its kind , but the concept of cashing in life insurance policies early is gaining popularity as more people confront the rising cost of dying , and more business owners see what looks like a	low-risk	profit .	To the Dying, Life Policy Can Bring Money Now	MEDICINE AND HEALTH, HEALTH INSURANCE
123	1990	The confinement and service are part of a new state program that permits	low-risk	inmates serving sentences of three months to a year to be released in as little as 60 days .	A Queens Judge Serves 2 Months Of a Year's Term	COURTS, PRISONS AND PRISONERS, SENTENCES (CRIMINAL), ETHICS, JUDGES, PERJURY, CRIME AND CRIMINALS
124	1990	The glass of wine , especially if it is recommended by the waiter or waitress , is a	low-risk	way to get to know a wine .	TYING THE KNOT	RESTAURANTS, WINES
125	1990	By 1976 , Geico was in bad shape , but it still retained its franchise , the sale of automobile insurance by mail to a	low-risk	constituency , which guaranteed a huge float .	BUFFET TAKES STOCK	STOCKS AND BONDS, BIOGRAPHICAL INFORMATION, INVESTMENT STRATEGIES
126	1990	But those savings , combined with strong gains in	low-risk	fee-producting businesses , were not enough to overcome the ill effects of loans that turned sour in the first quarter .	Gains Exceed Expectations At Chemical	COMPANY REPORTS
127	1990	Investors have been bailing out of the $ 55 million FPA Perennial Fund since the 1987 market crash , which puzzles Morningstar analysts , who say it is a dependable ,	low-risk	fund well-suited for retirement accounts and other long-term investments .	Mutual Funds	STOCKS AND BONDS, INVESTMENT STRATEGIES, MUTUAL FUNDS
128	1990	New York City 's new Correction Commissioner outlined a plan yesterday for several thousand ''	low-risk	inmates '' to work toward early release by performing outside work like clearing litter from highways , cleaning subways and building park benches .	Plan Envisions Cleanup Work for Early Release	PRISONS AND PRISONERS, LABOR
129	1990	said James F. Mosher , program director of the Marin Institute for the Prevention of Alcohol and Other Drug Problems , based in San Rafael , Calif. '' We do acknowledge that moderate consumption in	low-risk	situations is acceptable in this society . ''	Wine World On the Offensive	WINES, LABELING AND LABELS, ALCOHOL
130	1990	Bankers see insurance the agency business as a	low-risk	activity that could be profitable .	Law Allows Banks to Sell Insurance	BANKS AND BANKING, INSURANCE, CREDIT CARDS AND ACCOUNTS, LAW AND LEGISLATION
131	1990	It was a simple ,	low-risk	business .	THE SAVINGS DEBACLE: A SPECIAL REPORT:   A Financial Disaster With Many Culprits	BANKS AND BANKING, SAVINGS AND LOAN ASSOCIATIONS, FRAUDS AND SWINDLING, REGULATION AND DEREGULATION OF INDUSTRY
132	1990	But that criterion will result in	low-risk	drivers -LRB- senior citizens , married couples , women , suburbanites -RRB- subsidizing high-risk drivers -LRB- young , single males , particularly those in the inner cities -RRB- .	Florio's Puzzling 'Vision' for New Jersey	ECONOMIC CONDITIONS AND TRENDS, AUTOMOBILE INSURANCE AND LIABILITY, REFORM AND REORGANIZATION, TAXATION, EDUCATION AND SCHOOLS, STATE AND LOCAL AID (US)
133	1990		Low-risk	foods may have raw eggs if the acidity of the food is high enough to kill the salmonella , the Egg Nutrition Center says .	Eating Well	FOOD CONTAMINATION AND POISONING, SALMONELLA (BACTERIA), RECIPES, EGGS, COOKING AND COOKBOOKS
134	1990	So , for example , Ms. McCharen classes the uncooked egg whites that go into a mousse as	low-risk	.	Eating Well	FOOD CONTAMINATION AND POISONING, SALMONELLA (BACTERIA), RECIPES, EGGS, COOKING AND COOKBOOKS
135	1990	Because of slack loan demand , NCNB has been using its rising deposits to buy	low-risk	Government securities .	Profits Off For Some Big Banks	BANKS AND BANKING, COMPANY REPORTS
136	1990	While that might sound fair , it ignores the basic cost differences of providing insurance in different areas , and it will really cause rates to go up for many	low-risk	drivers , especially in rural areas .	Determining the Cost of Auto Insurance	AUTOMOBILE INSURANCE AND LIABILITY, LAW AND LEGISLATION
137	1990	Under the current insurance regulations , a number of important factors are considered when evaluating ''	low-risk	'' and '' high-risk '' drivers and determining rates .	Determining the Cost of Auto Insurance	AUTOMOBILE INSURANCE AND LIABILITY, LAW AND LEGISLATION
138	1990	Many of these	low-risk	prisoners could be easily placed into alternative incarceration .	Our Prison Profiteers	PRISONS AND PRISONERS, RENTING AND LEASING
139	1990	Three other fund companies soup up their index funds with option writing , giving investors a	low-risk	way to play to the movements of the S. & P. 500 .	Mutual Funds;   Adding the Bells and Whistles	STOCKS AND BONDS, MUTUAL FUNDS, INVESTMENT STRATEGIES, BROKERS AND BROKERAGE FIRMS
140	1990	According to that theory , Mr. Hussein is a bully who invaded Kuwait because he calculated - wrongly it turned out - that it would be a quick ,	low-risk	way of seizing the skeikdom 's oil and wealth .	Confrontation in the Gulf;   U.S. Remains at a Loss Trying to Predict Saddam Hussein's Next Move	UNITED STATES INTERNATIONAL RELATIONS, UNITED STATES ARMAMENT AND DEFENSE
141	1990	But its activities would be limited to what he calls	low-risk	businesses like investments in Government securities , consumer loans and loans to small - and medium-sized businesses . ''	A Bank Expert's Plan for Change	BANKS AND BANKING, SAVINGS AND LOAN ASSOCIATIONS, REFORM AND REORGANIZATION
142	1990		Low-Risk	, Conservative Strategy But Ryland is showing the same resilience in the low point of this cycle as it has shown in previous slumps .	Even as Profits Fall, Home Builder Plans to Gain	COMPANY REPORTS, COMPANY AND ORGANIZATION PROFILES
143	1990	Its success arises from a	low-risk	, conservative approach that limits the 23-year-old company 's profits in boom times , but cushions it from losses during the downturns .	Even as Profits Fall, Home Builder Plans to Gain	COMPANY REPORTS, COMPANY AND ORGANIZATION PROFILES
144	1990	These help to reinforce the Division of Alcoholism and Alcohol Abuse 's campaign , '' Safe Summer ' 90 , '' aimed at promoting	low-risk	, alcohol-free , drug-free activities this summer . ''	Dangers of Alcohol Get Hearing Among Blacks	ALCOHOL, BLACKS (IN US), TOBACCO, ADVERTISING
145	1990	For example , retirees who regularly withdraw set amounts from their portfolios are better off in	low-risk	funds .	Figuring Returns - and Risk Levels	STOCKS AND BONDS, MUTUAL FUNDS, INVESTMENT STRATEGIES
146	1990	All of the agencies had agreed months ago on a common risk-based capital standard , which offers banks a break for holding	low-risk	investments like home mortgages and Government securities .	Officials End Dispute Over Bank Capital	BANKS AND BANKING, STANDARDS AND STANDARDIZATION, CREDIT
147	1990	In an age when Presidential campaigns are so intensively covered by the daily press that it may be impossible for a book writer to come up with something truly revelatory , Mr. Simon 's technique is	low-risk	.	How the Spin Doctors Operate	BOOK REVIEWS
148	1990	But the extra risk should not affect the price of the stock because conservative investors would always have the option of '' deleveraging '' their assets by holding more of a	low-risk	asset like bank deposits .	Ideas That Changed Wall St. And Fathered Mutual Funds	NOBEL PRIZES, STOCKS AND BONDS, ECONOMICS
149	1990	In a meeting with reporters at the American Bankers Association 's annual meeting here , Mr. Seidman said he favored the idea of dividing the banking business between	low-risk	activities financed by Government-insured deposits and higher-risk activities paid for with other borrowed money .	Seidman Plan For Banks	BANKS AND BANKING
150	1990	But this particular 10-year period reflects an historical anomoly : a time when high-risk funds underperformed the	low-risk	ones .	Mutual Funds; The Ultimate in Bears and Bulls	STOCKS AND BONDS, FORECASTS
151	1990	Mr. Gray has told Congress that in the April 2 meeting with four of the five Senators , Mr. DeConcini offered a deal from Mr. Keating : In exchange for the bank board 's going easy on Lincoln 's high-risk investments , Lincoln would invest more money in	low-risk	home mortgages .	5 Senators in S. L. Case Plan to Challenge Ethics Panel's Legal Authority	BANKS AND BANKING, SAVINGS AND LOAN ASSOCIATIONS, ETHICS
152	1990	`` Monster in a Box '' may be the first play to make fun of	low-risk	heterosexual men whipping themselves into a frenzy of self-indulgent hypochondria about AIDS .	Review/Theater; Spalding Gray's Unfounded Worries	THEATER, REVIEWS
153	1990	While the stock is a	low-risk	purchase for the long-term , it `` is apt to see some strange fluctuations in the meantime , '' he said .	Market Place; Genentech Faces Unusual Situation	STOCKS (CORPORATE)
